,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,current Description
172,Mabaruma,GY,8.2,-59.7833,74.97,92,98,3.58,overcast clouds
173,Iqaluit,CA,63.7506,-68.5145,2.93,72,75,5.75,light snow
174,Keta,GH,5.9179,0.9879,82.62,80,14,9.35,few clouds
175,Laguna,US,38.421,-121.4238,59.25,43,1,4.0,clear sky
176,Zapolyarnyy,RU,69.4154,30.8136,16.88,92,100,14.36,light snow
177,Bousso,TD,10.4795,16.7117,75.88,21,9,5.12,clear sky
178,Mubi,NG,10.2676,13.2644,71.19,22,99,2.73,overcast clouds
179,Atar,MR,20.5169,-13.0499,67.55,13,81,9.84,broken clouds
180,Itarema,BR,-2.9248,-39.9167,80.92,77,16,13.04,few clouds
181,Haapiti,PF,-17.5667,-149.8667,85.73,67,61,12.19,broken clouds
182,Suba,PH,10.8438,121.0102,80.82,86,75,28.74,broken clouds
183,Mahebourg,MU,-20.4081,57.7,77.29,78,20,2.3,few clouds
184,Pozo Colorado,PY,-23.4923,-58.7972,87.06,20,58,6.17,broken clouds
185,Saskylakh,RU,71.9167,114.0833,-14.04,97,100,9.53,overcast clouds
186,Sayyan,YE,15.1718,44.3244,40.48,42,0,4.74,clear sky
187,Ningxiang,CN,37.34,111.2052,31.15,61,99,5.03,overcast clouds
188,Mineral Wells,US,32.8085,-98.1128,84.6,23,1,17.27,clear sky
189,Luang Prabang,LA,19.8856,102.1347,59.2,95,1,0.98,clear sky
190,Quepos,CR,9.4236,-84.1652,87.1,80,31,1.48,scattered clouds
191,Tecoanapa,MX,16.5167,-98.75,82.74,74,78,10.27,broken clouds
192,San Quintin,MX,30.4833,-115.95,60.4,57,20,15.17,few clouds
193,Uinskoye,RU,56.8817,56.5813,4.6,94,13,6.73,few clouds
194,Erenhot,CN,43.6475,111.9767,17.24,50,1,19.8,clear sky
195,Chingirlau,KZ,51.095,54.0814,24.94,83,100,11.07,overcast clouds
196,Isabela,PH,6.7085,121.9711,77.05,87,99,7.99,overcast clouds
197,Lorengau,PG,-2.0226,147.2712,79.32,78,100,17.27,overcast clouds
198,Lavrentiya,RU,65.5833,-171.0,-13.97,87,26,7.94,scattered clouds
199,Provideniya,RU,64.3833,-173.3,-7.96,88,6,10.25,clear sky
200,Coihaique,CL,-45.5752,-72.0662,71.55,33,75,8.05,broken clouds
201,Santa Maria,BR,-29.6842,-53.8069,79.9,41,0,6.91,clear sky
202,Tha Chang,TH,9.2642,99.1922,73.42,94,20,6.4,few clouds
203,Northam,GB,51.0333,-4.2167,46.38,75,34,12.33,scattered clouds
204,Naze,JP,28.3667,129.4833,59.92,62,5,5.93,clear sky
205,Tevaitoa,PF,-16.7833,-151.5,81.19,69,5,13.4,clear sky
206,Jalingo,NG,8.8833,11.3667,76.93,21,61,4.47,broken clouds
207,Acapulco,MX,16.8634,-99.8901,85.82,66,1,9.22,clear sky
208,Wamba,NG,8.9333,8.6,75.47,21,97,5.14,overcast clouds
209,Waingapu,ID,-9.6567,120.2641,81.14,79,95,3.27,overcast clouds
210,Ketchikan,US,55.3422,-131.6461,36.07,80,75,4.61,light rain
211,Bac Lieu,VN,9.285,105.7244,73.53,86,81,3.09,broken clouds
212,Henties Bay,NA,-22.116,14.2845,59.86,90,1,1.88,clear sky
213,Tarauaca,BR,-8.1614,-70.7656,74.41,98,99,1.28,overcast clouds
214,New Norfolk,AU,-42.7826,147.0587,54.9,69,84,1.01,broken clouds
215,Cartagena Del Chaira,CO,1.3349,-74.8429,80.67,68,97,3.44,overcast clouds
216,Pittsfield,US,42.4501,-73.2454,36.55,83,90,0.0,overcast clouds
217,Linxia,CN,35.6003,103.2064,30.11,53,100,1.74,overcast clouds
218,Formosa,AR,-26.1775,-58.1781,91.38,38,75,10.36,broken clouds
219,Boguchany,RU,58.3814,97.4531,-8.84,99,92,4.94,overcast clouds
220,Marinette,US,45.1,-87.6307,34.16,93,90,10.36,overcast clouds
221,Bambous Virieux,MU,-20.3428,57.7575,77.25,78,20,2.3,few clouds
222,Carutapera,BR,-1.195,-46.02,77.32,91,15,7.38,few clouds
223,Binabalian,PH,16.4202,119.9279,77.2,73,46,8.43,scattered clouds
224,Port Hardy,CA,50.6996,-127.4199,46.76,93,90,16.11,moderate rain
225,Beyneu,KZ,45.3167,55.2,37.13,95,100,19.1,overcast clouds
226,Huarmey,PE,-10.0681,-78.1522,69.98,81,100,8.59,overcast clouds
227,Sitka,US,57.0531,-135.33,33.69,86,90,6.91,light rain
228,Jiuquan,CN,39.7432,98.5174,22.15,85,100,1.59,overcast clouds
229,Studena,CZ,49.1852,15.2869,28.53,92,95,3.0,overcast clouds
230,Vestmannaeyjar,IS,63.4427,-20.2734,41.04,81,100,35.25,overcast clouds
231,Anadyr,RU,64.75,177.4833,-14.3,76,75,11.18,broken clouds
232,Berlevag,NO,70.8578,29.0864,21.2,79,90,16.11,light shower snow
233,Novotroitsk,RU,51.203,58.3266,18.3,90,100,8.59,overcast clouds
234,Lazarev,RU,52.225,141.5131,24.3,96,100,11.54,light snow
235,Bongandanga,CD,1.5,21.05,73.45,60,78,2.19,broken clouds
236,Boda,CF,4.3189,17.4695,76.62,37,72,1.57,broken clouds
237,Manali,IN,13.1667,80.2667,80.08,86,4,8.66,clear sky
238,Rokiskis,LT,55.9667,25.5833,35.22,98,100,13.96,light rain
239,Meulaboh,ID,4.1363,96.1285,76.12,87,88,3.44,overcast clouds
240,Oliveira Do Hospital,PT,40.3618,-7.8601,47.26,94,89,1.81,overcast clouds
241,Belmonte,BR,-15.8631,-38.8828,73.9,95,100,9.33,light rain
242,Kondinskoye,RU,59.6481,67.41,7.29,88,39,10.36,scattered clouds
243,Saint Anthony,US,45.0205,-93.218,30.54,93,90,4.0,snow
244,Washington,US,47.5001,-120.5015,37.89,71,100,1.34,overcast clouds
245,Barcelos,PT,41.5388,-8.6151,52.92,93,19,4.76,few clouds
246,Victoria,HK,22.2855,114.1577,69.24,76,100,4.0,overcast clouds
247,Galveston,US,29.3669,-94.9669,83.14,89,90,7.0,haze
248,Kudahuvadhoo,MV,2.6708,72.8944,81.36,77,95,13.89,overcast clouds
249,Abu Samrah,SY,35.3029,37.1841,52.0,63,58,10.54,broken clouds
250,Santa Cruz,BO,-17.8,-63.1667,89.65,55,40,9.22,scattered clouds
251,Kapoeta,SS,4.7717,33.5903,82.08,40,9,21.63,clear sky
252,Mocuba,MZ,-16.8392,36.9856,72.86,98,5,3.47,clear sky
253,Haines Junction,CA,60.7522,-137.5108,12.15,92,96,3.44,overcast clouds
254,Te Anau,NZ,-45.4167,167.7167,59.61,65,95,2.89,overcast clouds
255,Cortez,US,37.3489,-108.5859,27.52,57,1,18.41,clear sky
256,Batagay-Alyta,RU,67.8006,130.4114,-21.57,94,100,1.48,overcast clouds
257,Chuy,UY,-33.6971,-53.4616,61.99,81,73,6.71,broken clouds
258,New Lenox,US,41.512,-87.9656,45.32,100,90,8.05,overcast clouds
259,Norman Wells,CA,65.282,-126.8329,1.44,78,75,8.05,broken clouds
260,Jodar,ES,37.8406,-3.3526,55.83,88,85,3.8,overcast clouds
261,Port Lincoln,AU,-34.7333,135.8667,62.89,69,15,12.64,few clouds
262,Mehriz,IR,31.5917,54.4318,39.7,40,82,2.19,broken clouds
263,Urengoy,RU,65.9667,78.3667,11.7,94,100,14.99,light snow
264,Namatanai,PG,-3.6667,152.4333,83.1,77,99,4.99,light rain
265,Chumikan,RU,54.7183,135.315,-0.24,90,100,6.67,overcast clouds
266,Mahibadhoo,MV,3.7833,72.9667,81.19,79,49,13.76,scattered clouds
267,Yeppoon,AU,-23.1333,150.7333,82.18,68,0,7.02,clear sky
268,Cabo San Lucas,MX,22.8909,-109.9124,80.51,62,75,5.99,broken clouds
269,Pangai,TO,-19.8,-174.35,82.51,69,20,4.61,few clouds
270,Broken Hill,AU,-31.95,141.4333,65.91,39,0,10.36,clear sky
271,Portland,US,45.5234,-122.6762,47.61,89,90,1.99,overcast clouds
272,Mackenzie,CA,55.2999,-123.1698,26.82,80,90,12.66,overcast clouds
273,Corning,US,42.1428,-77.0547,44.64,61,1,0.0,clear sky
274,Arlit,NE,18.7369,7.3853,66.43,12,67,7.72,broken clouds
275,Zelenoborskiy,RU,66.845,32.3622,12.09,91,100,6.13,overcast clouds
276,Mildura,AU,-34.2,142.15,67.06,51,1,9.22,clear sky
277,Kousseri,CM,12.0769,15.0306,75.94,13,29,13.22,scattered clouds
278,Powell River,CA,49.8496,-124.5361,42.01,93,90,13.8,overcast clouds
279,Viytivka,UA,48.426,29.5429,47.82,87,100,16.42,overcast clouds
280,Chernyshevskiy,RU,63.0128,112.4714,-9.22,95,100,6.93,overcast clouds
281,Cairo Montenotte,IT,44.4031,8.2746,42.46,85,100,7.18,overcast clouds
282,Port Hueneme,US,34.1478,-119.1951,67.06,54,1,9.22,clear sky
283,Brae,GB,60.3964,-1.353,39.11,88,94,7.85,overcast clouds
284,Mpwapwa,TZ,-6.35,36.4833,65.75,86,12,3.44,few clouds
285,Beisfjord,NO,68.3751,17.5988,28.26,82,64,7.81,broken clouds
286,Wasilla,US,61.5814,-149.4394,22.03,83,90,0.0,overcast clouds
287,Prince Rupert,CA,54.3161,-130.3201,37.09,93,90,13.8,moderate rain
288,Morehead,US,37.2711,-87.1764,67.14,91,90,3.0,overcast clouds
289,Atherton,GB,53.5237,-2.4935,42.35,91,26,1.99,scattered clouds
290,Shirokiy,RU,49.758,129.523,-9.42,99,40,1.48,scattered clouds
291,Carlisle,US,40.2015,-77.1889,48.34,62,41,3.02,scattered clouds
292,Ust-Kan,RU,50.9276,84.761,-2.43,89,4,3.83,clear sky
293,Tigil,RU,57.8,158.6667,24.01,97,100,3.56,light snow
294,Avera,US,33.194,-82.5271,58.66,94,89,5.37,overcast clouds
295,Ilulissat,GL,69.2167,-51.1,17.62,45,100,2.3,overcast clouds
296,Benghazi,LY,32.1167,20.0667,61.86,55,7,10.92,clear sky
297,Oyem,GA,1.5995,11.5793,72.05,85,100,2.57,overcast clouds
298,Srednekolymsk,RU,67.45,153.6833,-49.31,100,64,2.84,broken clouds
299,Bandarbeyla,SO,9.4942,50.8122,75.34,80,7,17.78,clear sky
300,Pangnirtung,CA,66.1451,-65.7125,1.4,92,90,4.61,light snow
301,Cap Malheureux,MU,-19.9842,57.6142,77.49,77,84,3.0,broken clouds
302,Skibbereen,IE,51.55,-9.2667,42.6,90,98,8.46,overcast clouds
303,Melfi,IT,40.9965,15.6514,46.49,88,100,7.65,overcast clouds
304,Marsh Harbour,BS,26.5412,-77.0636,76.14,76,2,8.12,clear sky
305,Mgandu,TZ,-5.95,34.1333,66.83,59,68,8.81,broken clouds
306,Pasighat,IN,28.0667,95.3333,59.04,67,51,3.31,broken clouds
307,Beawar,IN,26.1,74.3167,55.65,38,70,4.85,broken clouds
308,Conceicao Do Araguaia,BR,-8.2578,-49.2647,75.61,96,100,2.71,moderate rain
309,Luderitz,NA,-26.6481,15.1594,60.19,91,0,9.84,clear sky
310,Key West,US,24.5557,-81.7826,80.01,78,1,11.5,clear sky
311,Yumen,CN,40.2833,97.2,19.98,76,94,15.93,overcast clouds
312,Grand Gaube,MU,-20.0064,57.6608,77.4,77,82,3.0,broken clouds
313,Waddan,LY,29.1614,16.139,50.67,43,0,4.88,clear sky
314,Olinda,BR,-8.0089,-34.8553,82.13,69,20,11.5,few clouds
315,Johi,PK,26.6921,67.6133,61.36,29,47,2.15,scattered clouds
316,Labuhan,ID,-6.8844,112.2051,78.78,86,95,6.4,overcast clouds
317,Kitimat,CA,54.0524,-128.6534,34.18,31,100,4.7,heavy snow
318,Seaford,GB,50.7714,0.1027,40.44,82,1,5.01,clear sky
319,Rundu,NA,-17.9333,19.7667,65.73,87,57,0.89,light rain
320,Margate,GB,51.3813,1.3862,41.31,84,4,5.01,clear sky
321,Tsukumi,JP,33.0706,131.8572,42.28,78,8,3.85,clear sky
322,Maues,BR,-3.3836,-57.7186,76.26,96,59,0.18,broken clouds
323,Sambava,MG,-14.2667,50.1667,75.74,76,89,7.16,overcast clouds
